Prompt;Code K;Si plusieurs code K, explications
Comment ajuster la tension des courroies ?;62;
Peut-on revendre sur le réseau l'électricité de la cogéénération ?;240;
Quelles solutions pour le tri de mes appareils ménagers ?;801;
Mon entreprise ne tri pas ses papiers;1675;
Ma chaudière thermique a beaucoup de pertes thermiques;201;
Comment réduire les pertes fumées de la chaudière ?;325;
Mon système de pompage n'est pas optimisé;;Les 27 solutions de Utilités/Pompe
Les purgeurs ne fonctionnent pas;192;
Peut-on capter le CO2 ?;;Technologies énergétiques/Capture et Stockage du CO2
Les pompes du réseau de chaleur ne fonctionnent pas bien;1639;
smart grid;;Technologie 51
Stocker l'énergie ?;;Technologie 53
Installer une GTB;373;
Caméra thermographique dans mon bâtiment;896;
Audit énergétique de mon bâtiment;946;
Piloter l'énergie ISO 50000;970;
Eco-concevoir mes produits;950;
Former mes équipes aux économies d'énergie;449;
Intéressant d'améliorer les évaporateurs ?;25;ou 826 (ranking des solutions ?)
Quel débit sur un réseau d'eau ?;1477;
